details_url,text_url
https://www.govinfo.gov/app/details/CHRG-117shrg51592,https://www.govinfo.gov/app/text/CHRG-117shrg51592
https://www.govinfo.gov/app/details/CHRG-117shrg47197,https://www.govinfo.gov/app/text/CHRG-117shrg47197
https://www.govinfo.gov/app/details/CHRG-117shrg47196,https://www.govinfo.gov/app/text/CHRG-117shrg47196
https://www.govinfo.gov/app/details/CHRG-117shrg47195,https://www.govinfo.gov/app/text/CHRG-117shrg47195
https://www.govinfo.gov/app/details/CHRG-117shrg46307,https://www.govinfo.gov/app/text/CHRG-117shrg46307
https://www.govinfo.gov/app/details/CHRG-117shrg46306,https://www.govinfo.gov/app/text/CHRG-117shrg46306
https://www.govinfo.gov/app/details/CHRG-117shrg46305,https://www.govinfo.gov/app/text/CHRG-117shrg46305
https://www.govinfo.gov/app/details/CHRG-117shrg47218,https://www.govinfo.gov/app/text/CHRG-117shrg47218
https://www.govinfo.gov/app/details/CHRG-117shrg45948,https://www.govinfo.gov/app/text/CHRG-117shrg45948
https://www.govinfo.gov/app/details/CHRG-117shrg45947,https://www.govinfo.gov/app/text/CHRG-117shrg45947
https://www.govinfo.gov/app/details/CHRG-117shrg45945,https://www.govinfo.gov/app/text/CHRG-117shrg45945
https://www.govinfo.gov/app/details/CHRG-117shrg45390,https://www.govinfo.gov/app/text/CHRG-117shrg45390
https://www.govinfo.gov/app/details/CHRG-117shrg45389,https://www.govinfo.gov/app/text/CHRG-117shrg45389
https://www.govinfo.gov/app/details/CHRG-117shrg45388,https://www.govinfo.gov/app/text/CHRG-117shrg45388
https://www.govinfo.gov/app/details/CHRG-116shrg44640,https://www.govinfo.gov/app/text/CHRG-116shrg44640
https://www.govinfo.gov/app/details/CHRG-116shrg45154,https://www.govinfo.gov/app/text/CHRG-116shrg45154
https://www.govinfo.gov/app/details/CHRG-116shrg44638,https://www.govinfo.gov/app/text/CHRG-116shrg44638
https://www.govinfo.gov/app/details/CHRG-116shrg41890,https://www.govinfo.gov/app/text/CHRG-116shrg41890
https://www.govinfo.gov/app/details/CHRG-116shrg41889,https://www.govinfo.gov/app/text/CHRG-116shrg41889
https://www.govinfo.gov/app/details/CHRG-116shrg39845,https://www.govinfo.gov/app/text/CHRG-116shrg39845
https://www.govinfo.gov/app/details/CHRG-116shrg39844,https://www.govinfo.gov/app/text/CHRG-116shrg39844
https://www.govinfo.gov/app/details/CHRG-116shrg39843,https://www.govinfo.gov/app/text/CHRG-116shrg39843
https://www.govinfo.gov/app/details/CHRG-116shrg39842,https://www.govinfo.gov/app/text/CHRG-116shrg39842
https://www.govinfo.gov/app/details/CHRG-116shrg41449,https://www.govinfo.gov/app/text/CHRG-116shrg41449
https://www.govinfo.gov/app/details/CHRG-116shrg38313,https://www.govinfo.gov/app/text/CHRG-116shrg38313
https://www.govinfo.gov/app/details/CHRG-116shrg38312,https://www.govinfo.gov/app/text/CHRG-116shrg38312
https://www.govinfo.gov/app/details/CHRG-116shrg38311,https://www.govinfo.gov/app/text/CHRG-116shrg38311
https://www.govinfo.gov/app/details/CHRG-116shrg37224,https://www.govinfo.gov/app/text/CHRG-116shrg37224
https://www.govinfo.gov/app/details/CHRG-116shrg37223,https://www.govinfo.gov/app/text/CHRG-116shrg37223
https://www.govinfo.gov/app/details/CHRG-116shrg37222,https://www.govinfo.gov/app/text/CHRG-116shrg37222
https://www.govinfo.gov/app/details/CHRG-115shrg37221,https://www.govinfo.gov/app/text/CHRG-115shrg37221
https://www.govinfo.gov/app/details/CHRG-115shrg36553,https://www.govinfo.gov/app/text/CHRG-115shrg36553
https://www.govinfo.gov/app/details/CHRG-115shrg36552,https://www.govinfo.gov/app/text/CHRG-115shrg36552
https://www.govinfo.gov/app/details/CHRG-115shrg38329,https://www.govinfo.gov/app/text/CHRG-115shrg38329
https://www.govinfo.gov/app/details/CHRG-115shrg36551,https://www.govinfo.gov/app/text/CHRG-115shrg36551
https://www.govinfo.gov/app/details/CHRG-115shrg36550,https://www.govinfo.gov/app/text/CHRG-115shrg36550
https://www.govinfo.gov/app/details/CHRG-115shrg32792,https://www.govinfo.gov/app/text/CHRG-115shrg32792
https://www.govinfo.gov/app/details/CHRG-115shrg32647,https://www.govinfo.gov/app/text/CHRG-115shrg32647
https://www.govinfo.gov/app/details/CHRG-115shrg32624,https://www.govinfo.gov/app/text/CHRG-115shrg32624
https://www.govinfo.gov/app/details/CHRG-115shrg32301,https://www.govinfo.gov/app/text/CHRG-115shrg32301
https://www.govinfo.gov/app/details/CHRG-115shrg31156,https://www.govinfo.gov/app/text/CHRG-115shrg31156
https://www.govinfo.gov/app/details/CHRG-115shrg30986,https://www.govinfo.gov/app/text/CHRG-115shrg30986
https://www.govinfo.gov/app/details/CHRG-115shrg29641,https://www.govinfo.gov/app/text/CHRG-115shrg29641
https://www.govinfo.gov/app/details/CHRG-115shrg29640,https://www.govinfo.gov/app/text/CHRG-115shrg29640
https://www.govinfo.gov/app/details/CHRG-115shrg29639,https://www.govinfo.gov/app/text/CHRG-115shrg29639
https://www.govinfo.gov/app/details/CHRG-115shrg29638,https://www.govinfo.gov/app/text/CHRG-115shrg29638
https://www.govinfo.gov/app/details/CHRG-115shrg29637,https://www.govinfo.gov/app/text/CHRG-115shrg29637
https://www.govinfo.gov/app/details/CHRG-115shrg28501,https://www.govinfo.gov/app/text/CHRG-115shrg28501
https://www.govinfo.gov/app/details/CHRG-115shrg28500,https://www.govinfo.gov/app/text/CHRG-115shrg28500
https://www.govinfo.gov/app/details/CHRG-115shrg28499,https://www.govinfo.gov/app/text/CHRG-115shrg28499
https://www.govinfo.gov/app/details/CHRG-115shrg28498,https://www.govinfo.gov/app/text/CHRG-115shrg28498
https://www.govinfo.gov/app/details/CHRG-115shrg28497,https://www.govinfo.gov/app/text/CHRG-115shrg28497
https://www.govinfo.gov/app/details/CHRG-115shrg28496,https://www.govinfo.gov/app/text/CHRG-115shrg28496
https://www.govinfo.gov/app/details/CHRG-114shrg23594,https://www.govinfo.gov/app/text/CHRG-114shrg23594
